stop_name,latitude,longitude
MAMELI,41.888385,12.467551
CIVITACAMPOMARANO/CASE ROSSE,41.931996,12.643026
CLODIO,41.917491,12.455463
PAOLA,41.900070,12.465588
TRINITA' DEI MONTI,41.906929,12.483001
GARIBALDI/IACOBUCCI,41.888386,12.465772
S. ARCANGELO DI ROMAGNA,41.789929,12.407778
STAZIONE GROTTAROSSA,41.964001,12.488956
STAZ.NE TIBURTINA (MB),41.909096,12.530759
LAURENTINA/TOR PAGNOTTA,41.802706,12.481647
MAR ROSSO/MARE DI BERING,41.733572,12.299019
LAURENTINA/CIMITERO LAURENTINO,41.764162,12.498068
LAURENTINA/MANDRIOLA,41.761258,12.500043
LAURENTINA/BELLOSGUARDO,41.741977,12.503742
LAURENTINA/ALPE,41.728619,12.506500
LAURENTINA/CIVICO 1569,41.745727,12.503460
LAURENTINA/CIMITERO LAURENTINO,41.763711,12.499105
BELLA VILLA,41.873196,12.577842
QUATTRO VENTI/REGNOLI,41.883656,12.458725
G.R.A.,41.857694,12.376749
COLOSSEO (MB),41.891308,12.492325
RUBELLIA,41.939117,12.623402
CORNELIA/VILLATA,41.899737,12.389355
OCEANO PACIFICO/VELODROMO,41.824976,12.456070
LODI (MC),41.886947,12.519079
TEANO (MC),41.890200,12.551109
PTA S. SEBASTIANO/SEPOLCRO SCIPIONI,41.873796,12.501353
VINCI,41.938177,12.419366
PITAGORA,41.921548,12.489647
BUOZZI/MONTI PARIOLI,41.919113,12.476791
NOMENTANA/MONTE ARGENTARIO,41.999569,12.629432
VENEZUELA/INDIA,41.933007,12.478290
UMBERTO I/CASTELLO,41.760436,12.302583
TOR PAGNOTTA/PELOSI,41.802399,12.486031
TOR PAGNOTTA/PELOSI,41.802705,12.485537
MAR ROSSO/MARE GLACIALE ARTICO,41.732140,12.302447
Gallese Teverina,42.380869,12.439788
BUAZZELLI/FABBRI,41.940424,12.566960
NAIDE/NICANDRO,41.915602,12.605405
CAMBELLOTTI,41.869434,12.631965
Montepescali,42.869536,11.068741
Ciampino,41.804301,12.599533
Fontanarosa-Cervaro,41.446827,13.863833
Roma Prenestina,41.897793,12.545990
Salone,41.915095,12.636063
Lunghezza,41.923843,12.667547
Itri,41.271328,13.545533
Roma Termini,41.900815,12.502332
Aversa,40.973330,14.218503
Villa Literno,41.005284,14.067462
Pomezia-Santa Palomba,41.706080,12.573554
Collevecchio-Poggio Sommavilla,42.297531,12.522931
Livorno Centrale,43.553986,10.336622
Anzio,41.452150,12.629295
Anzio Colonia,41.461610,12.616059
Lavinio,41.500705,12.626030
Nettuno,41.459573,12.662108
Casabianca,41.788451,12.604225
Pavona,41.725134,12.610045
Marino Laziale,41.768989,12.656018
Pescara Centrale,42.468667,14.204021
Vigna di Valle,42.076877,12.210721
Vairano-Caianello,41.317483,14.103866
Cassino,41.484256,13.832378
Piedimonte-Villa Santa Lucia-Aquino,41.495572,13.731205
Roccasecca,41.526410,13.645735
Ceprano-Falvaterra,41.523772,13.522595
Castro-Pofi-Vallecorsa,41.532957,13.410772
Sgurgola,41.687102,13.145765
Anagni,41.710359,13.096031
Colleferro-Segni-Paliano,41.740091,13.002931
Valmontone,41.774285,12.923715
Labico,41.783128,12.889450
Zagarolo,41.821839,12.826937
Colonna Galleria,41.838542,12.756056
Tor Vergata,41.826101,12.669887
Tarquinia,42.239522,11.727003
Capalbio,42.408105,11.370998
Chieti,42.356877,14.138094
Tivoli,41.961924,12.804997
Marcellina-Palombara,41.999640,12.791371
Sulmona,42.060847,13.907359
TOR S. GIOVANNI,41.981909,12.564601
TOR S. GIOVANNI,41.981873,12.564239
TIBURTINA/NASINI,41.929436,12.577088
