Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,DaSpecificare,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,TipoVeicolo,StatoVeicolo,Marca,Modello,Deceduto,DecedutoDopo
Strada Urbana,VIA MARMORATA,in corrispondenza,,del palo luce n.,,0,0,0,2,12.47840,41.87981,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf,0,
Strada Urbana,VIA MARMORATA,in corrispondenza,,del palo luce n.,,0,0,0,2,12.47840,41.87981,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Iveco,100,0,
Strada Urbana,VIA DI ACQUA BULLICANTE,in corrispondenza,,del civico n.,,1,0,0,1,12.54328,41.88180,,,,,0,NON DECEDUTO
Strada Urbana,VIA DI ACQUA BULLICANTE,in corrispondenza,,del civico n.,,1,0,0,1,12.54328,41.88180,Autovettura privata,In marcia / fermata / arresto,Fiat,Seicento,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA FIUGGI,VIA FIUGGI,,0,0,0,3,12.56278,41.88494,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA FIUGGI,VIA FIUGGI,,0,0,0,3,12.56278,41.88494,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA FIUGGI,VIA FIUGGI,,0,0,0,3,12.56278,41.88494,Autovettura privata,In marcia / fermata / arresto,Ford,EcoSport,0,
Strada Urbana,VIA DI BOCCEA,in corrispondenza,,del civico n.,,2,0,0,1,12.42054,41.90361,,,,,0,NON DECEDUTO
Strada Urbana,VIA DI BOCCEA,in corrispondenza,,del civico n.,,2,0,0,1,12.42054,41.90361,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300,0,
Strada Urbana,VIA DI BOCCEA,in corrispondenza,,del civico n.,,2,0,0,1,12.42054,41.90361,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300,0,NON DECEDUTO
Strada Urbana,VIA RIANO,in prossimit�,,del civico n.,,0,0,0,4,12.46972,41.93757,Autovettura privata,In marcia / fermata / arresto,Fiat,500,0,
Strada Urbana,VIA RIANO,in prossimit�,,del civico n.,,0,0,0,4,12.46972,41.93757,Autovettura privata,In marcia / fermata / arresto,Fiat,500,0,
Strada Urbana,VIA RIANO,in prossimit�,,del civico n.,,0,0,0,4,12.46972,41.93757,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo,0,
Strada Urbana,VIA RIANO,in prossimit�,,del civico n.,,0,0,0,4,12.46972,41.93757,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo,0,
