Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,DaSpecificare,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,TipoVeicolo,StatoVeicolo,Marca,Modello,Deceduto,DecedutoDopo
Strada Urbana,VIA DI S. CLETO PAPA,da specificare,,,F.C. 12,2,0,0,1,12.42317,41.92252,Autovettura privata,In marcia / fermata / arresto,Autobianchi,MINI R50,0,
Strada Urbana,VIA DI S. CLETO PAPA,da specificare,,,F.C. 12,2,0,0,1,12.42317,41.92252,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300,0,NON DECEDUTO
Strada Urbana,VIALE CORTINA D'AMPEZZO,da specificare,,,prossimit� Via Saint Vincent,0,0,0,1,12.44368,41.94779,Autovettura privata,In marcia / fermata / arresto,Volkswagen,UP,0,
Strada Urbana,VIA PAPINIANO,all'intersezione con,LARGO GIORGIO MACCAGNO,LARGO GIORGIO MACCAGNO,,0,0,0,2,12.43846,41.91630,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris,0,
Strada Urbana,VIA PAPINIANO,all'intersezione con,LARGO GIORGIO MACCAGNO,LARGO GIORGIO MACCAGNO,,0,0,0,2,12.43846,41.91630,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
Strada Urbana,VIA ALESSANDRO VESSELLA,in prossimit�,,del civico n.,,0,0,0,1,12.51060,41.93690,Autovettura privata,In marcia / fermata / arresto,MG,Rover,0,
Strada Urbana,VIA DELLA VALLE DEI FONTANILI,in corrispondenza,,del civico n.,,1,0,0,3,12.41067,41.92254,Autovettura privata,In marcia / fermata / arresto,Daewoo,Captiva,0,
Strada Urbana,VIA DELLA VALLE DEI FONTANILI,in corrispondenza,,del civico n.,,1,0,0,3,12.41067,41.92254,Autovettura privata,In marcia / fermata / arresto,Daewoo,Captiva,0,
Strada Urbana,VIA DELLA VALLE DEI FONTANILI,in corrispondenza,,del civico n.,,1,0,0,3,12.41067,41.92254,Autovettura privata,In marcia / fermata / arresto,Daewoo,Captiva,0,
Strada Urbana,VIA DELLA VALLE DEI FONTANILI,in corrispondenza,,del civico n.,,1,0,0,3,12.41067,41.92254,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesty 400,0,NON DECEDUTO
