stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1097216286,,Ceccano,,41.573590,13.336308,,,,,,
1106054690,,Scurcola Marsicana,,42.053076,13.344386,,,,,,
1106057325,,Tagliacozzo,,42.070691,13.255704,,,,,,
1106074886,,Aielli,,42.062107,13.581162,,,,,,
1106326443,,Carrito Ortona,,42.026463,13.720198,,,,,,
1107333143,,Bugnara,,42.031180,13.862029,,,,,,
1123594082,,Montalto di Castro,,42.334387,11.595095,,,,,,
1134679105,,Roma Ostiense,,41.872362,12.484440,,,,,,
1166343098,,Settebagni,,42.006374,12.520168,,,,,,
1215079672,,Caserta,,41.068655,14.328207,,,,,,
1233102601,,Prezza,,42.053721,13.834493,,,,,,
1247835904,,Castel Madama,,41.988362,12.864944,,,,,,
1295482398,,Napoli Centrale,,40.852948,14.272946,,,,,,
1307099084,,Alberese,,42.639311,11.134380,,,,,,
1313285438,,La Storta,,42.002853,12.380691,,,,,,
1313285440,,Ponte Galeria,,41.818408,12.344730,,,,,,
1313285441,,Torricola,,41.809481,12.557676,,,,,,
1313285444,,Muratella,,41.824775,12.408648,,,,,,
1313285445,,Villa Bonelli,,41.847902,12.455112,,,,,,
1313285447,,Fiera di Roma,,41.810020,12.319127,,,,,,
1313285450,,Olgiata,,42.014630,12.363741,,,,,,
1313285451,,Roma Trastevere,,41.872385,12.466139,,,,,,
1313285454,,Roma San Pietro,,41.896065,12.454467,,,,,,
1313285457,,Appiano Proba Petronia,,41.911906,12.438886,,,,,,
1313285458,,Gemelli,,41.927852,12.427862,,,,,,
1313285459,,Parco Leonardo,,41.799809,12.296186,,,,,,
1313285460,,Roma San Filippo Neri,,41.946703,12.416304,,,,,,
1313285462,,Cesano di Roma,,42.061892,12.326501,,,,,,
1313285463,,Capannelle,,41.830764,12.568833,,,,,,
1313285465,,Magliana,,41.834296,12.430979,,,,,,
1313285466,,Fidene,,41.979177,12.508455,,,,,,
1313285467,,Quattro Venti,,41.878598,12.458787,,,,,,
1313285470,,Ipogeo degli Ottavi,,41.968752,12.408857,,,,,,
1313285471,,Roma Tiburtina,,41.911082,12.531088,,,,,,
1313285473,,Fiumicino Aeroporto,,41.793499,12.251837,,,,,,
1313285477,,Roma Tuscolana,,41.879237,12.523672,,,,,,
1313285479,,Roma Monte Mario,,41.939064,12.421741,,,,,,
1313285482,,Roma Balduina,,41.920067,12.436624,,,,,,
1313285485,,La Giustiniana,,41.985294,12.403301,,,,,,
1406563934,,Ottavia,,41.960357,12.410142,,,,,,
1409788555,,Fara Sabina-Montelibretti,,42.155614,12.648389,,,,,,
1409788571,,Roma Nomentana,,41.932639,12.523367,,,,,,
1420849972,,Civitavecchia,,42.088122,11.798736,,,,,,
1420849974,,Ladispoli - Cerveteri,,41.953279,12.081988,,,,,,
1420849978,,Maccarese - Fregene,,41.878981,12.237345,,,,,,
1420849981,,Marina di Cerveteri,,41.979226,12.047786,,,,,,
1420849984,,Roma Aurelia,,41.883045,12.394187,,,,,,
1420849992,,Santa Severa,,42.020651,11.969048,,,,,,
1420849997,,Torre in Pietra - Palidoro,,41.924273,12.183337,,,,,,
1420851508,,Santa Marinella,,42.035994,11.863058,,,,,,
1459739924,,Cerchio,,42.061096,13.598399,,,,,,
1459739929,,Sante Marie,,42.097022,13.216956,,,,,,
1459741580,,Pescina,,42.037570,13.668957,,,,,,
1459752502,,Anversa-Villalago-Scanno,,42.017403,13.835727,,,,,,
1459752511,,Cocullo,,42.040740,13.776635,,,,,,
1459752513,,Goriano Sicoli,,42.082818,13.783782,,,,,,
1613097261,,Tora - Presenzano,,41.358808,14.044612,,,,,,
1681708347,,Ferentino,,41.655689,13.247637,,,,,,
1681708348,,Isoletta-San Giovanni Incarico,,41.528055,13.547261,,,,,,
1681708349,,Morolo,,41.666992,13.194586,,,,,,
1705986099,,Roviano,,42.026498,12.991343,,,,,,
1740286636,,Albinia,,42.502307,11.211266,,,,,,
1783452056,,Arsoli,,42.045876,13.013187,,,,,,
1783452057,,Colli di Monte Bove,,42.097142,13.150609,,,,,,
1783452058,,Oricola - Pereto,,42.067812,13.044295,,,,,,
1783452059,,Villa San Sebastiano,,42.049281,13.308109,,,,,,
1828171703,,Guidonia-Montecelio-Sant'Angelo,,41.993409,12.725684,,,,,,
1828465249,,Cecchina,,41.692358,12.650432,,,,,,
1884198895,,Fondi-Sperlonga,,41.337661,13.424909,,,,,,
1960688179,,Mignano Monte Lungo,,41.407546,13.986649,,,,,,
20002,20002,BORGO SANT'ANGELO,50 M. DOPO VIA DELLA TRASPONTINA - CAPOLINEA 40 INOPEROSO,41.903291,12.463751,,http://muovi.roma.it/percorso/js?query=20002&cl=1,,,Europe/Rome,0
20003,20003,ROCCA CENCIA/GIOIOSA JONICA,40 M. DOPO VIA SERRA PEDACE,41.867586,12.689102,,http://muovi.roma.it/percorso/js?query=20003&cl=1,,,Europe/Rome,0
20004,20004,PRATI FISCALI/VAL DI SANGRO,20 M. DOPO VIA VAL MAIRA,41.945968,12.521851,,http://muovi.roma.it/percorso/js?query=20004&cl=1,,,Europe/Rome,0
20006,20006,CASTEL PORZIANO/MARIANI,25 M. DOPO VIA MARIANI PRIMA CIVICO 485,41.737614,12.372494,,http://muovi.roma.it/percorso/js?query=20006&cl=1,,,Europe/Rome,0
20008,20008,FOSSO OSA/MONTELAPIANO,20 M. DOPO SBOCCO VIA MONTELAPIANO FRONTE CIVICO 360,41.902849,12.684791,,http://muovi.roma.it/percorso/js?query=20008&cl=1,,,Europe/Rome,0
20010,20010,LUCREZIA ROMANA,8 M. DOPO SBOCCO VIA LUCIO MARIANI,41.824006,12.586431,,http://muovi.roma.it/percorso/js?query=20010&cl=1,,,Europe/Rome,0
20014,20014,GORDIANI/AMALFI,20 M. DOPO FR.INGRES.CAMPO SPORT.SUPERGA FR.C.235,41.886401,12.554396,,http://muovi.roma.it/percorso/js?query=20014&cl=1,,,Europe/Rome,0
20017,20017,LEGA LOMBARDA,35 M. DOPO P.ZA DELLE CROCIATE,41.908638,12.524958,,http://muovi.roma.it/percorso/js?query=20017&cl=1,,,Europe/Rome,0
20018,20018,CIMITERO LAURENTINO,ALTEZZA RIQUADRO 17,41.760572,12.489053,,http://muovi.roma.it/percorso/js?query=20018&cl=1,,,Europe/Rome,0
20020,20020,VAL D'ALA,10 M. PRIMA DI VIA VAL GRANA,41.941754,12.519816,,http://muovi.roma.it/percorso/js?query=20020&cl=1,,,Europe/Rome,0
20022,20022,SELVA CANDIDA/ROSSO E.,45 M. DOPO CIVICO 336 - ALTEZZA CIVICO 350,41.937262,12.378061,,http://muovi.roma.it/percorso/js?query=20022&cl=1,,,Europe/Rome,0
20026,20026,SESTO S. GIOVANNI/DRAGONE,200 M. DOPO VIA DI DRAGONE,41.789476,12.330582,,http://muovi.roma.it/percorso/js?query=20026&cl=1,,,Europe/Rome,0
20028,20028,TIBURTINA/LINO DA PARMA,ALTEZZA KM.10+360 SINISTRA DOPO FRONTE CIVICO 1040,41.932141,12.581147,,http://muovi.roma.it/percorso/js?query=20028&cl=1,,,Europe/Rome,0
20029,20029,TIBURTINA/TOR CERVARA,200 M.DOPO VIA TOR CERVARA FRONTE CIVICO 1095/A,41.932732,12.588327,,http://muovi.roma.it/percorso/js?query=20029&cl=1,,,Europe/Rome,0
20030,20030,TIBURTINA/TIVOLI,50 M.DOPO VIA TIVOLI DOPO FRONTE CIVICO 1119,41.932953,12.590991,,http://muovi.roma.it/percorso/js?query=20030&cl=1,,,Europe/Rome,0
20032,20032,LM DUCA DEGLI ABRUZZI/SCIPIONE AFRICANO,30 M. DOPO PZA SCIPIONE AFRICANO,41.733796,12.263689,,http://muovi.roma.it/percorso/js?query=20032&cl=1,,,Europe/Rome,0
20033,20033,CIMITERO/V.LE UFFICI,VLE UFFICI / 100 M. DOPO INGRESSO SUD CIMITERO,42.008463,12.493485,,http://muovi.roma.it/percorso/js?query=20033&cl=1,,,Europe/Rome,0
20034,20034,FARINATA DEGLI UBERTI/MERCATO,10 M. PRIMA VCIVICO 71,41.733983,12.291975,,http://muovi.roma.it/percorso/js?query=20034&cl=1,,,Europe/Rome,0
20035,20035,DEL GRECO CARLO/MERCATO,ALTEZZA CIVICO 67,41.734118,12.290700,,http://muovi.roma.it/percorso/js?query=20035&cl=1,,,Europe/Rome,0
20036,20036,SALK/GHISALBA,50 M. PRIMA VIA GHISALBA,41.989138,12.481125,,http://muovi.roma.it/percorso/js?query=20036&cl=1,,,Europe/Rome,0
20037,20037,SELVA CANDIDA/BASALUZZO,30 M. DOPO CIVICO 229,41.932181,12.376702,,http://muovi.roma.it/percorso/js?query=20037&cl=1,,,Europe/Rome,0
20038,20038,SELVA CANDIDA/BASALUZZO,ALTEZZA CIVICO 204,41.932069,12.376880,,http://muovi.roma.it/percorso/js?query=20038&cl=1,,,Europe/Rome,0
20040,20040,DONNA OLIMPIA/FIORINI,20 M. DOPO SBOCCO VIA FIORINI,41.875227,12.454793,,http://muovi.roma.it/percorso/js?query=20040&cl=1,,,Europe/Rome,0
20078,20078,MOSCHEA/FORTE ANTENNE,60 M. DOPO SBOCCO VIA FORTE ANTENNE CAPOLINEA 230,41.934799,12.495741,,http://muovi.roma.it/percorso/js?query=20078&cl=1,,,Europe/Rome,0
20079,20079,SACRO CUORE DI MARIA/EUCLIDE,40 M. DOPO P.ZA EUCLIDE CAPOLINEA 230,41.927455,12.481892,,http://muovi.roma.it/percorso/js?query=20079&cl=1,,,Europe/Rome,0
20081,20081,GELLI/DANIELLO,FRONTE CIVICO 14,41.789928,12.386423,,http://muovi.roma.it/percorso/js?query=20081&cl=1,,,Europe/Rome,0
20082,20082,GELLI/DANIELLO,ALTEZZA CIVICO 14,41.789858,12.386478,,http://muovi.roma.it/percorso/js?query=20082&cl=1,,,Europe/Rome,0
20097,20097,INCISA VAL D'ARNO,40 M. PRIMA FRONTE INGRESSO STAZIONE,41.978957,12.509104,,http://muovi.roma.it/percorso/js?query=20097&cl=1,,,Europe/Rome,0
20098,20098,INCISA VAL D'ARNO,25 M. DOPO INGRESSO STAZIONE,41.979118,12.509050,,http://muovi.roma.it/percorso/js?query=20098&cl=1,,,Europe/Rome,0
20099,20099,CAVACEPPI/VICO CONSORTI,FRONTE CIVICO 9,41.795613,12.432575,,http://muovi.roma.it/percorso/js?query=20099&cl=1,,,Europe/Rome,0
20100,20100,L.GO VALSABBIA,5 M. PRIMA VIA VAL DI NON - CAPOLINEA 83,41.942862,12.515863,,http://muovi.roma.it/percorso/js?query=20100&cl=1,,,Europe/Rome,0
20101,20101,L.GO VALSABBIA,5 M. PRIMA VIA VAL DI NON - II CORSIA ANTISTANTE PARCHEGGIO - CAP. 311-311D,41.942924,12.515963,,http://muovi.roma.it/percorso/js?query=20101&cl=1,,,Europe/Rome,0
20102,20102,L.GO VALSABBIA,30 M. PRIMA VIA VAL DI NON - II CORSIA ANTISTANTE IL PARCHEGGIO,41.942831,12.516132,,http://muovi.roma.it/percorso/js?query=20102&cl=1,,,Europe/Rome,0
20108,20108,MARCIGLIANA/BUFALOTTA,10 M. PRIMA CIVICO 599,41.991357,12.552899,,http://muovi.roma.it/percorso/js?query=20108&cl=1,,,Europe/Rome,0
20109,20109,MARCIGLIANA/BUFALOTTA,5 M. DOPO CIVICO 543,41.991462,12.558128,,http://muovi.roma.it/percorso/js?query=20109&cl=1,,,Europe/Rome,0
20118,20118,STAZIONE PRIMA PORTA,CORSIA LATERALE ALTEZZA INGRESSO STAZIONE,42.000057,12.493899,,http://muovi.roma.it/percorso/js?query=20118&cl=1,,,Europe/Rome,0
20121,20121,AURELIA/PERSICHETTI,KM. 14+070 DESTRA PRIMA VIA PERSICHETTI               S.S.1,41.882983,12.340975,,http://muovi.roma.it/percorso/js?query=20121&cl=1,,,Europe/Rome,0
20124,20124,GARIBALDI/FABRIZI,ALTEZZA CIV. 28,41.887620,12.466636,,http://muovi.roma.it/percorso/js?query=20124&cl=1,,,Europe/Rome,0
20125,20125,NICCOLO' CAROSIO,20 M. PRIMA VIA CARLO EMERY,41.978508,12.494308,,http://muovi.roma.it/percorso/js?query=20125&cl=1,,,Europe/Rome,0
20128,20128,PARTENOPE/IRPINIA,10 M. PRIMA VIA FONTANAROSA,41.892404,12.550900,,http://muovi.roma.it/percorso/js?query=20128&cl=1,,,Europe/Rome,0
20159,20159,CASAL BOCCONE/ALMAVIVA,PIAZZALE INTERNO ALMAVIVA,41.957857,12.557408,,http://muovi.roma.it/percorso/js?query=20159&cl=1,,,Europe/Rome,0
20161,20161,CHIODELLI/PUPPINI,10 M. PRIMA VIA PUPPINI,41.905660,12.662278,,http://muovi.roma.it/percorso/js?query=20161&cl=1,,,Europe/Rome,0
20171,20171,CASAL BOCCONE/OJETTI,150 M. PRIMA ROTATORIA VIA OJETTI,41.952226,12.559125,,http://muovi.roma.it/percorso/js?query=20171&cl=1,,,Europe/Rome,0
20178,20178,CASAL BOCCONE/ALMAVIVA,50 M. PRIMA FRONTE CIVICO 188 - INGRESSO ALMAVIVA,41.957887,12.556998,,http://muovi.roma.it/percorso/js?query=20178&cl=1,,,Europe/Rome,0
20181,20181,FIORANELLO/ARDEATINA,60 M. DOPO VIA ARDEATINA,41.795490,12.535365,,http://muovi.roma.it/percorso/js?query=20181&cl=1,,,Europe/Rome,0
20182,20182,FIORANELLO/CIVICO 186,FRONTE CIVICO 186,41.794306,12.537452,,http://muovi.roma.it/percorso/js?query=20182&cl=1,,,Europe/Rome,0
20186,20186,DELLA GIOVANNA I./ZOO GRUNWALD,2^ AREA DI PARCHEGGIO - 10 M. PRIMA CIV. 195 - ZOO GRUNWALD - CAPOLINEA 088-088F,41.870756,12.345191,,http://muovi.roma.it/percorso/js?query=20186&cl=1,,,Europe/Rome,0
20194,20194,TIBURTINA/PORTONACCIO,ALTEZZA CIVICO 354 - CORSIA LATERALE,41.908064,12.535477,,http://muovi.roma.it/percorso/js?query=20194&cl=1,,,Europe/Rome,0
20195,20195,TIBURTINA/OTTOBONI,ALTEZZA CIVICO 488 - CORSIA LATERALE,41.908369,12.540447,,http://muovi.roma.it/percorso/js?query=20195&cl=1,,,Europe/Rome,0
20196,20196,TIBURTINA/GALLA PLACIDIA,ALTEZZA CIVICO 568 - CORSIA LATERALE,41.908490,12.543423,,http://muovi.roma.it/percorso/js?query=20196&cl=1,,,Europe/Rome,0
